"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"24109",37,"admin.","married","university.degree","no","yes","no","telephone","nov","wed",1,6,1,"success",-0.1,93.2,-42,4.286,5195.8,"0"
"24265",48,"management","married","university.degree","no","yes","no","cellular","nov","mon",1,4,1,"success",-0.1,93.2,-42,4.191,5195.8,"0"
"24483",36,"self-employed","single","university.degree","no","yes","no","cellular","nov","mon",2,4,1,"success",-0.1,93.2,-42,4.191,5195.8,"0"
"24614",32,"blue-collar","married","basic.9y","no","no","no","cellular","nov","mon",2,5,1,"success",-0.1,93.2,-42,4.191,5195.8,"1"
"24800",31,"entrepreneur","divorced","basic.4y","no","no","no","cellular","nov","tue",1,5,1,"success",-0.1,93.2,-42,4.153,5195.8,"0"
"24851",51,"admin.","married","university.degree","no","no","no","cellular","nov","tue",2,1,1,"success",-0.1,93.2,-42,4.153,5195.8,"0"
"24911",52,"admin.","single","basic.9y","no","yes","no","cellular","nov","tue",1,6,1,"success",-0.1,93.2,-42,4.153,5195.8,"0"
"25054",31,"blue-collar","single","basic.9y","no","yes","no","cellular","nov","tue",1,4,1,"success",-0.1,93.2,-42,4.153,5195.8,"0"
"25275",34,"services","married","basic.9y","no","no","no","cellular","nov","tue",2,4,1,"success",-0.1,93.2,-42,4.153,5195.8,"0"
"25455",49,"management","divorced","university.degree","no","no","no","cellular","nov","wed",2,6,1,"success",-0.1,93.2,-42,4.12,5195.8,"0"
"25498",31,"unemployed","single","professional.course","no","yes","no","cellular","nov","wed",1,0,1,"success",-0.1,93.2,-42,4.12,5195.8,"0"
"25505",35,"self-employed","single","university.degree","no","no","yes","cellular","nov","wed",1,3,1,"success",-0.1,93.2,-42,4.12,5195.8,"0"
"25520",58,"management","divorced","university.degree","no","no","no","cellular","nov","wed",1,5,1,"success",-0.1,93.2,-42,4.12,5195.8,"1"
"25704",32,"services","married","high.school","no","yes","no","cellular","nov","wed",1,5,1,"success",-0.1,93.2,-42,4.12,5195.8,"0"
"25854",31,"blue-collar","single","high.school","no","yes","no","cellular","nov","wed",1,6,1,"success",-0.1,93.2,-42,4.12,5195.8,"1"
